,bin_energy,event_count
0,206.64543,0
1,207.29877,0
2,207.9521,0
3,208.60544,0
4,209.25876,0
5,209.9121,0
6,210.56543,0
7,211.21877,0
8,211.8721,0
9,212.52544,0
10,213.17877,0
11,213.83209,0
12,214.48543,0
13,215.13876,0
14,215.7921,0
15,216.44543,0
16,217.09877,0
17,217.7521,0
18,218.40543,0
19,219.05876,1
20,219.7121,0
21,220.36543,1
22,221.01877,0
23,221.6721,1
24,222.32542,1
25,222.97876,0
26,223.6321,0
27,224.28543,0
28,224.93877,2
29,225.5921,0
30,226.24544,0
31,226.89876,1
32,227.5521,1
33,228.20543,0
34,228.85876,0
35,229.5121,0
36,230.16544,2
37,230.81877,2
38,231.47209,0
39,232.12543,3
40,232.77876,2
41,233.4321,5
42,234.08543,3
43,234.73877,6
44,235.3921,5
45,236.04543,11
46,236.69876,5
47,237.3521,4
48,238.00543,8
49,238.65877,6
50,239.3121,9
51,239.96544,13
52,240.61876,18
53,241.2721,19
54,241.92543,24
55,242.57877,21
56,243.2321,31
57,243.88544,51
58,244.53876,63
59,245.1921,69
60,245.84543,87
61,246.49876,129
62,247.1521,210
63,247.80544,270
64,248.45877,356
65,249.11209,451
66,249.76543,597
67,250.41876,764
68,251.0721,926
69,251.72543,1098
70,252.37877,1293
71,253.0321,1500
72,253.68542,1616
73,254.33876,1721
74,254.9921,1852
75,255.64543,1936
76,256.29877,1822
77,256.9521,1806
78,257.60544,1656
79,258.25876,1499
80,258.9121,1449
81,259.56543,1190
82,260.21875,1055
83,260.8721,818
84,261.52542,643
85,262.17877,546
86,262.8321,371
87,263.48544,290
88,264.13876,226
89,264.79208,156
90,265.44543,126
91,266.09875,70
92,266.7521,55
93,267.40543,26
94,268.05878,19
95,268.7121,10
96,269.36542,11
97,270.01877,9
98,270.6721,7
99,271.32544,4
100,271.97876,1
101,272.6321,2
102,273.28543,1
103,273.93875,1
104,274.5921,2
105,275.24542,3
106,275.89877,1
107,276.5521,0
108,277.20544,0
109,277.85876,0
110,278.5121,0
111,279.16544,0
112,279.81876,0
113,280.4721,0
114,281.12543,0
115,281.77878,0
116,282.4321,0
117,283.08542,0
118,283.73877,0
119,284.3921,0
120,285.04544,0
121,285.69876,0
122,286.3521,0
123,287.00543,0
124,287.65875,0
125,288.3121,0
126,288.96542,0
127,289.61877,0
128,290.2721,0
129,290.92545,0
130,291.57877,0
131,292.2321,0
132,292.88544,0
133,293.53876,0
134,294.1921,0
135,294.84543,0
136,295.49878,0
137,296.1521,0
138,296.80542,0
139,297.45877,0
140,298.1121,0
141,298.76544,0
142,299.41876,0
143,300.0721,0
144,300.72543,0
145,301.37875,0
146,302.0321,0
147,302.68542,0
148,303.33878,0
149,303.9921,0
