,bin_energy,event_count
0,241.76816,1
1,242.51483,1
2,243.26149,1
3,244.00816,1
4,244.75482,0
5,245.5015,1
6,246.24815,0
7,246.99483,2
8,247.74149,2
9,248.48816,1
10,249.23482,0
11,249.98149,0
12,250.72816,3
13,251.47482,0
14,252.2215,0
15,252.96815,1
16,253.71483,1
17,254.46149,0
18,255.20816,1
19,255.95482,2
20,256.70148,5
21,257.44815,2
22,258.19482,3
23,258.9415,1
24,259.68817,3
25,260.4348,3
26,261.1815,3
27,261.92816,1
28,262.67484,2
29,263.42148,0
30,264.16815,2
31,264.91483,3
32,265.6615,3
33,266.40817,3
34,267.15482,1
35,267.9015,1
36,268.64816,5
37,269.39484,3
38,270.14148,3
39,270.88815,4
40,271.63483,5
41,272.3815,6
42,273.12814,10
43,273.87482,6
44,274.6215,6
45,275.36816,4
46,276.11484,10
47,276.86148,7
48,277.60815,10
49,278.35483,7
50,279.1015,10
51,279.84814,16
52,280.59482,18
53,281.3415,24
54,282.08817,29
55,282.83484,31
56,283.58148,39
57,284.32816,53
58,285.07483,74
59,285.8215,83
60,286.56815,82
61,287.31482,118
62,288.0615,148
63,288.80817,178
64,289.5548,227
65,290.30148,321
66,291.04816,359
67,291.79483,481
68,292.5415,593
69,293.28815,715
70,294.03482,908
71,294.7815,1048
72,295.52817,1266
73,296.2748,1477
74,297.02148,1750
75,297.76816,1886
76,298.51483,2088
77,299.2615,2301
78,300.00815,2291
79,300.75482,2338
80,301.5015,2345
81,302.24817,2179
82,302.9948,2185
83,303.7415,1964
84,304.48816,1732
85,305.23483,1592
86,305.9815,1267
87,306.72815,1054
88,307.47482,880
89,308.2215,671
90,308.96817,501
91,309.7148,399
92,310.4615,272
93,311.20816,192
94,311.95483,139
95,312.70148,91
96,313.44815,60
97,314.19482,45
98,314.9415,30
99,315.68817,23
100,316.4348,15
101,317.1815,14
102,317.92816,7
103,318.67484,6
104,319.42148,6
105,320.16815,2
106,320.91483,1
107,321.6615,3
108,322.40817,2
109,323.15482,2
110,323.9015,1
111,324.64816,0
112,325.39484,0
113,326.14148,0
114,326.88815,0
115,327.63483,0
116,328.3815,0
117,329.12814,0
118,329.87482,0
119,330.6215,0
120,331.36816,0
121,332.11484,0
122,332.86148,0
123,333.60815,0
124,334.35483,0
125,335.1015,0
126,335.84814,0
127,336.59482,0
128,337.3415,0
129,338.08817,0
130,338.83484,0
131,339.58148,0
132,340.32816,0
133,341.07483,0
134,341.8215,0
135,342.56815,0
136,343.31482,0
137,344.0615,0
138,344.80817,0
139,345.5548,0
140,346.30148,0
141,347.04816,0
142,347.79483,0
143,348.5415,0
144,349.28815,0
145,350.03482,0
146,350.7815,0
147,351.52817,0
148,352.2748,0
149,353.02148,0
