,bin_energy,event_count
0,119.9447,1
1,120.41137,1
2,120.87804,0
3,121.3447,0
4,121.81137,0
5,122.27804,1
6,122.744705,0
7,123.21137,0
8,123.67803,3
9,124.1447,0
10,124.61137,1
11,125.07803,0
12,125.5447,0
13,126.01137,0
14,126.478035,3
15,126.9447,0
16,127.41137,0
17,127.87804,0
18,128.3447,0
19,128.81137,1
20,129.27803,1
21,129.7447,3
22,130.21136,3
23,130.67804,1
24,131.1447,1
25,131.61137,0
26,132.07803,2
27,132.54471,1
28,133.01137,1
29,133.47804,1
30,133.9447,1
31,134.41136,1
32,134.87804,1
33,135.3447,0
34,135.81137,1
35,136.27803,1
36,136.7447,0
37,137.21136,3
38,137.67804,5
39,138.1447,1
40,138.61137,1
41,139.07803,4
42,139.54471,3
43,140.01137,1
44,140.47804,1
45,140.9447,3
46,141.41136,3
47,141.87804,3
48,142.3447,4
49,142.81137,8
50,143.27803,9
51,143.7447,10
52,144.21136,11
53,144.67804,19
54,145.1447,17
55,145.61137,27
56,146.07803,23
57,146.54471,30
58,147.01137,50
59,147.47804,51
60,147.9447,86
61,148.41136,87
62,148.87804,122
63,149.3447,187
64,149.81137,203
65,150.27803,267
66,150.7447,399
67,151.21136,461
68,151.67804,597
69,152.1447,731
70,152.61137,899
71,153.07803,1083
72,153.54471,1274
73,154.01137,1437
74,154.47804,1590
75,154.9447,1690
76,155.41136,1799
77,155.87804,1828
78,156.3447,1853
79,156.81137,1868
80,157.27803,1690
81,157.7447,1614
82,158.21136,1558
83,158.67804,1262
84,159.1447,1149
85,159.61137,1050
86,160.07803,867
87,160.54471,691
88,161.01137,613
89,161.47804,489
90,161.9447,311
91,162.41136,248
92,162.87804,173
93,163.3447,141
94,163.81137,91
95,164.27803,52
96,164.7447,57
97,165.21136,30
98,165.67804,18
99,166.1447,13
100,166.61137,10
101,167.07803,2
102,167.54471,3
103,168.01137,2
104,168.47804,1
105,168.9447,2
106,169.41136,1
107,169.87804,1
108,170.3447,1
109,170.81137,0
110,171.27803,0
111,171.7447,0
112,172.21136,1
113,172.67804,0
114,173.1447,0
115,173.61137,0
116,174.07803,0
117,174.54471,0
118,175.01137,0
119,175.47804,0
120,175.9447,0
121,176.41136,0
122,176.87804,0
123,177.3447,0
124,177.81137,0
125,178.27803,0
126,178.7447,0
127,179.21136,0
128,179.67804,0
129,180.1447,0
130,180.61137,0
131,181.07803,0
132,181.54471,0
133,182.01137,0
134,182.47804,0
135,182.9447,0
136,183.41136,0
137,183.87804,0
138,184.3447,0
139,184.81137,0
140,185.27803,0
141,185.7447,0
142,186.21136,0
143,186.67804,0
144,187.1447,0
145,187.61137,0
146,188.07803,0
147,188.54471,0
148,189.01137,0
149,189.47804,0
