,bin_energy,event_count
0,165.05476,1
1,165.61476,0
2,166.17476,0
3,166.73476,0
4,167.29477,0
5,167.85477,1
6,168.41476,0
7,168.97476,0
8,169.53476,1
9,170.09476,0
10,170.65477,1
11,171.21477,2
12,171.77477,0
13,172.33476,0
14,172.89476,0
15,173.45476,0
16,174.01477,0
17,174.57477,2
18,175.13477,0
19,175.69476,1
20,176.25476,0
21,176.81476,1
22,177.37477,0
23,177.93477,1
24,178.49477,1
25,179.05476,0
26,179.61476,0
27,180.17476,0
28,180.73476,0
29,181.29477,0
30,181.85477,0
31,182.41476,1
32,182.97476,0
33,183.53476,0
34,184.09476,0
35,184.65477,3
36,185.21477,2
37,185.77477,2
38,186.33476,2
39,186.89476,0
40,187.45476,2
41,188.01477,5
42,188.57477,3
43,189.13477,4
44,189.69476,5
45,190.25476,4
46,190.81476,12
47,191.37477,8
48,191.93477,5
49,192.49477,9
50,193.05476,12
51,193.61476,12
52,194.17476,18
53,194.73476,11
54,195.29477,17
55,195.85477,23
56,196.41476,37
57,196.97476,67
58,197.53476,85
59,198.09476,78
60,198.65477,133
61,199.21477,157
62,199.77477,218
63,200.33476,279
64,200.89476,388
65,201.45476,501
66,202.01477,663
67,202.57477,805
68,203.13477,1049
69,203.69476,1092
70,204.25476,1254
71,204.81476,1505
72,205.37477,1554
73,205.93477,1782
74,206.49477,1727
75,207.05476,1802
76,207.61476,1819
77,208.17476,1704
78,208.73476,1617
79,209.29477,1508
80,209.85477,1339
81,210.41476,1156
82,210.97476,997
83,211.53476,794
84,212.09476,644
85,212.65477,510
86,213.21477,385
87,213.77477,293
88,214.33476,257
89,214.89476,165
90,215.45476,110
91,216.01477,71
92,216.57477,58
93,217.13477,41
94,217.69476,26
95,218.25476,13
96,218.81476,15
97,219.37477,4
98,219.93477,5
99,220.49477,7
100,221.05476,4
101,221.61476,1
102,222.17476,0
103,222.73476,1
104,223.29477,1
105,223.85477,2
106,224.41476,0
107,224.97476,0
108,225.53476,1
109,226.09476,0
110,226.65477,0
111,227.21477,0
112,227.77477,0
113,228.33476,0
114,228.89476,0
115,229.45476,0
116,230.01477,0
117,230.57477,0
118,231.13477,0
119,231.69476,0
120,232.25476,0
121,232.81476,0
122,233.37477,0
123,233.93477,0
124,234.49477,0
125,235.05476,0
126,235.61476,0
127,236.17476,0
128,236.73476,0
129,237.29477,0
130,237.85477,0
131,238.41476,0
132,238.97476,0
133,239.53476,0
134,240.09476,0
135,240.65477,0
136,241.21477,0
137,241.77477,0
138,242.33476,0
139,242.89476,0
140,243.45476,0
141,244.01477,0
142,244.57477,0
143,245.13477,0
144,245.69476,0
145,246.25476,0
146,246.81476,0
147,247.37477,0
148,247.93477,0
149,248.49477,0
