,bin_energy,event_count
0,24.07846,1
1,24.171795,2
2,24.265127,3
3,24.358461,1
4,24.451794,4
5,24.545128,4
6,24.63846,1
7,24.731794,3
8,24.825127,4
9,24.91846,2
10,25.011793,1
11,25.105127,3
12,25.198462,2
13,25.291794,3
14,25.385128,3
15,25.47846,3
16,25.571795,2
17,25.665127,4
18,25.758461,4
19,25.851793,3
20,25.945127,6
21,26.03846,4
22,26.131794,4
23,26.225128,5
24,26.31846,4
25,26.411795,9
26,26.505127,8
27,26.598461,7
28,26.691793,11
29,26.785128,11
30,26.87846,17
31,26.971794,9
32,27.065126,9
33,27.15846,19
34,27.251795,11
35,27.345127,16
36,27.438461,25
37,27.531794,29
38,27.625128,27
39,27.71846,38
40,27.811794,40
41,27.905127,36
42,27.99846,43
43,28.091795,65
44,28.185127,67
45,28.278461,82
46,28.371794,86
47,28.465128,109
48,28.55846,114
49,28.651794,161
50,28.745127,145
51,28.83846,168
52,28.931793,223
53,29.025127,242
54,29.118462,293
55,29.211794,323
56,29.305128,380
57,29.39846,347
58,29.491795,424
59,29.585127,485
60,29.678461,506
61,29.771793,584
62,29.865128,624
63,29.95846,698
64,30.051794,738
65,30.145128,803
66,30.23846,875
67,30.331795,911
68,30.425127,928
69,30.518461,972
70,30.611794,1033
71,30.705128,1035
72,30.79846,1088
73,30.891794,1171
74,30.985126,1154
75,31.07846,1245
76,31.171795,1215
77,31.265127,1210
78,31.358461,1207
79,31.451794,1158
80,31.545128,1190
81,31.63846,1130
82,31.731794,1199
83,31.825127,1169
84,31.91846,1135
85,32.011795,1064
86,32.10513,1024
87,32.19846,1044
88,32.291794,954
89,32.385128,866
90,32.478462,841
91,32.571793,796
92,32.665127,711
93,32.75846,718
94,32.851795,664
95,32.945126,584
96,33.03846,535
97,33.131794,490
98,33.22513,469
99,33.318462,419
100,33.411793,388
101,33.505127,360
102,33.59846,325
103,33.691795,278
104,33.785126,269
105,33.87846,191
106,33.971794,186
107,34.06513,177
108,34.158463,168
109,34.251793,113
110,34.345127,124
111,34.43846,113
112,34.531796,90
113,34.625126,57
114,34.71846,89
115,34.811794,53
116,34.90513,51
117,34.99846,38
118,35.091793,28
119,35.185127,24
120,35.27846,25
121,35.371796,16
122,35.465126,20
123,35.55846,16
124,35.651794,18
125,35.74513,6
126,35.83846,8
127,35.931793,7
128,36.025127,7
129,36.11846,7
130,36.211796,5
131,36.305126,3
132,36.39846,2
133,36.491795,2
134,36.58513,0
135,36.67846,1
136,36.771793,0
137,36.865128,0
138,36.95846,2
139,37.051792,4
140,37.145126,0
141,37.23846,0
142,37.331795,0
143,37.42513,0
144,37.51846,0
145,37.611794,0
146,37.705128,0
147,37.798462,0
148,37.891792,0
149,37.985126,0
