Energy,-1960,-1880,-1800,-1720,-1640,-1560,-1480,-1400,-1320,-1240,-1160,-1080,-1000,-920,-840,-760,-680,-600,-520,-440,-360,-280,-200,-120,-40,40,120,200,280,360,440,520,600,680,760,840,920,1000,1080,1160,1240,1320,1400,1480,1560,1640,1720,1800,1880,1960
30,0.00E+00,1.00E+00,2.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,1.00E+00,2.00E+00,5.00E+00,1.60E+01,5.20E+01,1.33E+02,1.59E+02,1.43E+02,8.40E+01,2.10E+01,1.20E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
50,0.00E+00,2.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+00,0.00E+00,1.00E+00,2.00E+00,1.00E+00,2.00E+00,6.00E+00,3.00E+00,8.00E+00,2.00E+01,4.30E+01,5.80E+01,1.26E+02,2.12E+02,2.47E+02,3.58E+02,3.68E+02,3.56E+02,3.04E+02,2.18E+02,1.08E+02,6.10E+01,2.10E+01,1.00E+01,6.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
100,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,1.00E+00,0.00E+00,3.00E+00,1.00E+00,0.00E+00,0.00E+00,2.00E+00,1.00E+00,1.00E+00,4.00E+00,4.00E+00,1.00E+01,1.90E+01,3.00E+01,6.30E+01,9.30E+01,1.34E+02,2.00E+02,2.46E+02,2.90E+02,2.83E+02,3.07E+02,2.73E+02,2.49E+02,1.90E+02,1.40E+02,9.20E+01,6.70E+01,3.90E+01,1.10E+01,1.00E+01,4.00E+00,2.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
150,0.00E+00,0.00E+00,0.00E+00,2.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,1.00E+00,0.00E+00,1.00E+00,2.00E+00,2.00E+00,6.00E+00,4.00E+00,6.00E+00,1.40E+01,2.50E+01,3.60E+01,5.30E+01,1.01E+02,1.09E+02,1.49E+02,1.72E+02,1.91E+02,2.23E+02,2.18E+02,2.36E+02,2.19E+02,1.69E+02,1.51E+02,1.38E+02,8.20E+01,7.00E+01,4.30E+01,3.90E+01,1.40E+01,9.00E+00,2.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00
200,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,4.00E+00,0.00E+00,0.00E+00,3.00E+00,3.00E+00,5.00E+00,6.00E+00,1.50E+01,2.10E+01,3.70E+01,5.00E+01,7.50E+01,7.20E+01,1.10E+02,1.20E+02,1.31E+02,1.19E+02,1.17E+02,1.39E+02,1.26E+02,9.70E+01,8.50E+01,5.30E+01,3.80E+01,3.10E+01,2.80E+01,1.40E+01,8.00E+00,3.00E+00,4.00E+00,3.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
250,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.00E+00,2.00E+00,0.00E+00,3.00E+00,5.00E+00,3.00E+00,4.00E+00,3.00E+00,1.50E+01,1.30E+01,1.20E+01,1.70E+01,3.20E+01,3.90E+01,3.00E+01,4.90E+01,4.70E+01,5.10E+01,6.20E+01,5.60E+01,5.10E+01,3.90E+01,3.60E+01,2.60E+01,2.10E+01,1.70E+01,9.00E+00,7.00E+00,7.00E+00,3.00E+00,2.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
300,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
