Energy,-1960,-1880,-1800,-1720,-1640,-1560,-1480,-1400,-1320,-1240,-1160,-1080,-1000,-920,-840,-760,-680,-600,-520,-440,-360,-280,-200,-120,-40,40,120,200,280,360,440,520,600,680,760,840,920,1000,1080,1160,1240,1320,1400,1480,1560,1640,1720,1800,1880,1960
20,7.57E-02,5.68E-02,1.89E-02,5.68E-02,7.57E-02,2.27E-01,6.44E-01,1.25E+00,2.29E+00,3.01E+00,3.20E+00,2.67E+00,2.95E+00,1.91E+00,1.53E+00,1.19E+00,9.85E-01,6.25E-01,6.25E-01,4.92E-01,6.25E-01,8.33E-01,3.12E+00,1.40E+01,4.37E+01,7.41E+01,6.30E+01,3.07E+01,8.01E+00,1.27E+00,1.51E-01,3.79E-02,3.79E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.89E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
30,3.64E-01,4.44E-01,5.03E-01,5.43E-01,5.16E-01,5.10E-01,5.89E-01,4.90E-01,5.56E-01,3.71E-01,2.58E-01,2.25E-01,1.99E-01,1.65E-01,1.85E-01,8.61E-02,8.61E-02,1.06E-01,9.27E-02,1.39E-01,2.05E-01,6.75E-01,2.40E+00,8.26E+00,2.17E+01,3.72E+01,3.98E+01,2.88E+01,1.39E+01,4.45E+00,1.11E+00,2.38E-01,2.65E-02,6.62E-03,0.00E+00,0.00E+00,6.62E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
50,1.38E+00,9.95E-01,9.40E-01,4.42E-01,4.42E-01,6.63E-01,7.19E-01,4.42E-01,3.87E-01,4.42E-01,2.21E-01,3.87E-01,2.76E-01,1.66E-01,3.32E-01,5.53E-01,3.32E-01,8.29E-01,9.95E-01,1.99E+00,3.98E+00,1.33E+01,3.74E+01,1.05E+02,2.23E+02,3.58E+02,4.83E+02,4.85E+02,3.88E+02,2.38E+02,1.21E+02,4.85E+01,1.48E+01,3.59E+00,6.08E-01,3.32E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
100,0.00E+00,5.17E-02,1.03E-01,5.17E-02,0.00E+00,0.00E+00,2.07E-01,1.03E-01,1.03E-01,0.00E+00,5.17E-02,1.55E-01,2.58E-01,3.10E-01,4.65E-01,7.75E-01,8.79E-01,1.14E+00,1.76E+00,3.67E+00,7.96E+00,1.79E+01,3.37E+01,6.38E+01,1.16E+02,1.81E+02,2.61E+02,3.30E+02,3.78E+02,3.73E+02,3.31E+02,2.60E+02,1.83E+02,1.14E+02,6.58E+01,2.95E+01,1.40E+01,5.22E+00,1.91E+00,8.27E-01,3.10E-01,0.00E+00,5.17E-02,5.17E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
150,0.00E+00,6.92E-02,0.00E+00,3.46E-02,0.00E+00,0.00E+00,3.46E-02,1.38E-01,1.04E-01,1.73E-01,1.04E-01,2.77E-01,2.07E-01,5.19E-01,5.19E-01,1.24E+00,1.73E+00,2.32E+00,3.98E+00,5.67E+00,9.23E+00,1.81E+01,3.03E+01,4.92E+01,7.76E+01,1.15E+02,1.63E+02,2.05E+02,2.38E+02,2.73E+02,2.67E+02,2.55E+02,2.22E+02,1.85E+02,1.38E+02,9.67E+01,6.05E+01,3.71E+01,2.02E+01,1.11E+01,5.50E+00,2.25E+00,8.99E-01,4.15E-01,2.42E-01,0.00E+00,3.46E-02,0.00E+00,0.00E+00,0.00E+00
200,0.00E+00,0.00E+00,4.31E-02,4.31E-02,1.29E-01,2.15E-02,1.29E-01,1.72E-01,1.51E-01,2.37E-01,1.29E-01,3.66E-01,6.67E-01,7.32E-01,8.18E-01,1.42E+00,2.09E+00,3.08E+00,5.64E+00,7.99E+00,1.28E+01,1.99E+01,3.06E+01,4.48E+01,6.14E+01,7.88E+01,9.81E+01,1.18E+02,1.33E+02,1.42E+02,1.40E+02,1.34E+02,1.23E+02,1.03E+02,8.03E+01,6.15E+01,4.33E+01,3.04E+01,1.90E+01,1.23E+01,7.04E+00,3.77E+00,1.74E+00,1.01E+00,3.66E-01,2.80E-01,1.29E-01,4.31E-02,0.00E+00,0.00E+00
250,3.96E-02,1.09E-01,1.19E-01,1.68E-01,1.59E-01,1.29E-01,1.59E-01,2.08E-01,2.68E-01,4.46E-01,5.25E-01,7.73E-01,1.05E+00,1.47E+00,2.35E+00,3.14E+00,4.93E+00,6.76E+00,1.05E+01,1.40E+01,1.97E+01,2.56E+01,3.23E+01,3.88E+01,4.49E+01,4.93E+01,5.43E+01,5.56E+01,5.32E+01,5.11E+01,4.50E+01,4.02E+01,3.26E+01,2.55E+01,1.91E+01,1.38E+01,9.51E+00,6.10E+00,4.23E+00,2.15E+00,1.61E+00,7.73E-01,3.47E-01,1.98E-01,8.92E-02,1.98E-02,1.98E-02,9.91E-03,0.00E+00,0.00E+00
300,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
