,bin_energy,event_count
0,-2.3251877,0
1,-1.9918543,0
2,-1.658521,0
3,-1.3251877,0
4,-0.99185437,0
5,-0.658521,0
6,-0.32518768,0
7,0.00814565,0
8,0.34147897,0
9,0.6748123,0
10,1.0081457,0
11,1.341479,0
12,1.6748123,0
13,2.0081456,0
14,2.341479,0
15,2.6748123,0
16,3.0081456,0
17,3.341479,0
18,3.6748123,0
19,4.008146,0
20,4.341479,0
21,4.6748123,0
22,5.008146,0
23,5.341479,0
24,5.6748123,0
25,6.008146,0
26,6.341479,0
27,6.6748123,0
28,7.008146,0
29,7.341479,0
30,7.6748123,0
31,8.008145,0
32,8.341479,0
33,8.674812,0
34,9.008145,0
35,9.341479,0
36,9.674812,0
37,10.008145,0
38,10.341479,0
39,10.674812,0
40,11.008145,0
41,11.341479,0
42,11.674812,0
43,12.008145,0
44,12.341479,0
45,12.674812,0
46,13.008145,1
47,13.341479,0
48,13.674812,1
49,14.008145,0
50,14.341479,0
51,14.674812,0
52,15.008145,0
53,15.341479,0
54,15.674812,0
55,16.008146,0
56,16.341478,0
57,16.674812,0
58,17.008146,0
59,17.341478,0
60,17.674812,0
61,18.008146,0
62,18.341478,1
63,18.674812,0
64,19.008146,0
65,19.341478,0
66,19.674812,0
67,20.008146,0
68,20.341478,0
69,20.674812,0
70,21.008146,0
71,21.341478,0
72,21.674812,0
73,22.008146,0
74,22.341478,0
75,22.674812,0
76,23.008146,0
77,23.341478,1
78,23.674812,0
79,24.008146,0
80,24.341478,1
81,24.674812,0
82,25.008146,0
83,25.341478,0
84,25.674812,1
85,26.008146,0
86,26.341478,0
87,26.674812,1
88,27.008146,1
89,27.341478,0
90,27.674812,0
91,28.008146,0
92,28.341478,0
93,28.674812,0
94,29.008146,2
95,29.341478,0
96,29.674812,1
97,30.008146,0
98,30.341478,0
99,30.674812,0
100,31.008146,1
101,31.341478,1
102,31.674812,2
103,32.008144,2
104,32.34148,0
105,32.674812,0
106,33.008144,0
107,33.34148,0
108,33.674812,1
109,34.008144,1
110,34.34148,1
111,34.674812,0
112,35.008144,0
113,35.34148,0
114,35.674812,2
115,36.008144,0
116,36.34148,1
117,36.674812,1
118,37.008144,3
119,37.34148,1
120,37.674812,1
121,38.008144,1
122,38.34148,0
123,38.674812,1
124,39.008144,2
125,39.34148,3
126,39.674812,2
127,40.008144,7
128,40.34148,2
129,40.674812,7
130,41.008144,5
131,41.34148,4
132,41.674812,12
133,42.008144,10
134,42.34148,5
135,42.674812,16
136,43.008144,14
137,43.34148,18
138,43.674812,29
139,44.008144,36
140,44.34148,35
141,44.674812,54
142,45.008144,52
143,45.34148,81
144,45.674812,104
145,46.008144,112
146,46.34148,121
147,46.674812,197
148,47.008144,200
149,47.34148,209
150,47.674812,203
151,48.008144,210
152,48.34148,222
153,48.674812,216
154,49.008144,190
155,49.34148,178
156,49.674812,122
157,50.008144,82
158,50.34148,82
159,50.674812,64
160,51.008144,39
161,51.34148,23
162,51.674812,23
163,52.008144,20
164,52.34148,12
165,52.674812,8
166,53.008144,5
167,53.34148,2
168,53.674812,1
169,54.008144,1
170,54.34148,0
171,54.674812,1
172,55.008144,0
173,55.34148,0
174,55.674812,0
175,56.008144,0
176,56.34148,0
177,56.674812,0
178,57.008144,0
179,57.34148,0
180,57.674812,0
181,58.008144,0
182,58.34148,1
183,58.674812,0
184,59.008144,0
185,59.34148,0
186,59.674812,0
187,60.008144,0
188,60.34148,0
189,60.674812,0
190,61.008144,0
191,61.34148,0
192,61.674812,0
193,62.008144,0
194,62.34148,0
195,62.674812,0
196,63.008144,0
197,63.34148,0
198,63.674812,0
199,64.00815,0
200,64.34148,0
201,64.67481,0
202,65.00815,0
203,65.34148,0
204,65.67481,0
205,66.00815,0
206,66.34148,0
207,66.67481,0
208,67.00815,0
209,67.34148,0
210,67.67481,0
211,68.00815,0
212,68.34148,0
213,68.67481,0
214,69.00815,0
215,69.34148,0
216,69.67481,0
217,70.00815,0
218,70.34148,0
219,70.67481,0
220,71.00815,0
221,71.34148,0
222,71.67481,0
223,72.00815,0
224,72.34148,0
225,72.67481,0
226,73.00815,0
227,73.34148,0
228,73.67481,0
229,74.00815,0
230,74.34148,0
231,74.67481,0
232,75.00815,0
233,75.34148,0
234,75.67481,0
235,76.00815,0
236,76.34148,0
237,76.67481,0
238,77.00815,0
239,77.34148,0
240,77.67481,0
241,78.00815,0
242,78.34148,0
243,78.67481,0
244,79.00815,0
245,79.34148,0
246,79.67481,0
247,80.00815,0
248,80.34148,0
249,80.67481,0
250,81.00815,0
251,81.34148,0
252,81.67481,0
253,82.00815,0
254,82.34148,0
255,82.67481,0
256,83.00815,0
257,83.34148,0
258,83.67481,0
259,84.00815,0
260,84.34148,0
261,84.67481,0
262,85.00815,0
263,85.34148,0
264,85.67481,0
265,86.00815,0
266,86.34148,0
267,86.67481,0
268,87.00815,0
269,87.34148,0
270,87.67481,0
271,88.00815,1
272,88.34148,0
273,88.67481,0
274,89.00815,0
275,89.34148,0
276,89.67481,0
277,90.00815,0
278,90.34148,0
279,90.67481,0
280,91.00815,0
281,91.34148,0
282,91.67481,0
283,92.00815,0
284,92.34148,0
285,92.67481,0
286,93.00815,0
287,93.34148,0
288,93.67481,0
289,94.00815,0
290,94.34148,0
291,94.67481,0
292,95.00815,0
293,95.34148,0
294,95.67481,0
295,96.00815,0
296,96.34148,0
297,96.67481,0
298,97.00815,0
299,97.34148,0
