,bin_energy,event_count
0,230.71951,0
1,231.05284,1
2,231.38618,0
3,231.71951,0
4,232.05284,0
5,232.38618,0
6,232.71951,0
7,233.05284,0
8,233.38618,0
9,233.71951,0
10,234.05284,0
11,234.38618,0
12,234.71951,0
13,235.05284,0
14,235.38618,2
15,235.71951,0
16,236.05284,0
17,236.38618,0
18,236.71951,1
19,237.05284,0
20,237.38618,0
21,237.71951,0
22,238.05284,0
23,238.38618,0
24,238.71951,0
25,239.05284,0
26,239.38618,0
27,239.71951,0
28,240.05284,0
29,240.38618,0
30,240.71951,0
31,241.05284,0
32,241.38618,0
33,241.71951,0
34,242.05284,0
35,242.38618,0
36,242.71951,0
37,243.05284,0
38,243.38618,1
39,243.71951,1
40,244.05284,0
41,244.38618,0
42,244.71951,0
43,245.05284,0
44,245.38618,0
45,245.71951,0
46,246.05284,0
47,246.38618,1
48,246.71951,0
49,247.05284,0
50,247.38618,0
51,247.71951,0
52,248.05284,1
53,248.38618,0
54,248.71951,0
55,249.05284,0
56,249.38618,0
57,249.71951,0
58,250.05284,0
59,250.38618,0
60,250.71951,0
61,251.05284,0
62,251.38618,1
63,251.71951,0
64,252.05284,0
65,252.38618,0
66,252.71951,0
67,253.05284,1
68,253.38618,0
69,253.71951,0
70,254.05284,0
71,254.38618,0
72,254.71951,0
73,255.05284,0
74,255.38618,0
75,255.71951,0
76,256.05286,2
77,256.38617,0
78,256.7195,1
79,257.05286,0
80,257.38617,0
81,257.7195,0
82,258.05286,0
83,258.38617,0
84,258.7195,0
85,259.05286,2
86,259.38617,1
87,259.7195,0
88,260.05286,1
89,260.38617,1
90,260.7195,2
91,261.05286,0
92,261.38617,0
93,261.7195,1
94,262.05286,2
95,262.38617,0
96,262.7195,0
97,263.05286,0
98,263.38617,0
99,263.7195,0
100,264.05286,2
101,264.38617,1
102,264.7195,0
103,265.05286,4
104,265.38617,1
105,265.7195,1
106,266.05286,1
107,266.38617,2
108,266.7195,1
109,267.05286,5
110,267.38617,3
111,267.7195,0
112,268.05286,3
113,268.38617,5
114,268.7195,5
115,269.05286,5
116,269.38617,3
117,269.7195,3
118,270.05286,4
119,270.38617,5
120,270.7195,4
121,271.05286,6
122,271.38617,8
123,271.7195,10
124,272.05286,12
125,272.38617,14
126,272.7195,16
127,273.05286,22
128,273.38617,23
129,273.7195,22
130,274.05286,31
131,274.38617,41
132,274.7195,39
133,275.05286,37
134,275.38617,45
135,275.7195,55
136,276.05286,51
137,276.38617,68
138,276.7195,63
139,277.05286,79
140,277.38617,91
141,277.7195,71
142,278.05286,98
143,278.38617,96
144,278.7195,104
145,279.05286,137
146,279.38617,113
147,279.7195,118
148,280.05286,130
149,280.38617,129
150,280.7195,143
151,281.05286,127
152,281.38617,110
153,281.7195,128
154,282.05286,123
155,282.38617,135
156,282.7195,118
157,283.05286,133
158,283.38617,121
159,283.7195,103
160,284.05286,104
161,284.38617,103
162,284.7195,86
163,285.05286,79
164,285.38617,82
165,285.7195,84
166,286.05286,62
167,286.38617,63
168,286.7195,58
169,287.05286,63
170,287.38617,40
171,287.7195,45
172,288.05286,35
173,288.38617,43
174,288.7195,23
175,289.05286,27
176,289.38617,23
177,289.7195,21
178,290.05286,27
179,290.38617,12
180,290.7195,10
181,291.05286,9
182,291.38617,6
183,291.7195,6
184,292.05286,3
185,292.38617,3
186,292.7195,3
187,293.05286,2
188,293.38617,1
189,293.7195,1
190,294.05286,3
191,294.38617,1
192,294.7195,1
193,295.05286,0
194,295.38617,2
195,295.7195,2
196,296.05286,1
197,296.38617,1
198,296.7195,0
199,297.05286,0
200,297.38617,0
201,297.7195,1
202,298.05286,0
203,298.38617,0
204,298.7195,0
205,299.05286,1
206,299.38617,0
207,299.7195,0
208,300.05286,0
209,300.38617,0
210,300.7195,0
211,301.05286,0
212,301.38617,0
213,301.7195,0
214,302.05286,0
215,302.38617,0
216,302.7195,0
217,303.05286,0
218,303.38617,0
219,303.7195,0
220,304.05286,0
221,304.38617,0
222,304.7195,0
223,305.05286,0
224,305.38617,0
225,305.7195,0
226,306.05286,0
227,306.38617,0
228,306.7195,0
229,307.05286,0
230,307.38617,0
231,307.7195,0
232,308.05286,0
233,308.38617,0
234,308.7195,0
235,309.05286,0
236,309.38617,0
237,309.7195,0
238,310.05286,0
239,310.38617,0
240,310.7195,0
241,311.05286,0
242,311.38617,0
243,311.7195,0
244,312.05286,0
245,312.38617,0
246,312.7195,0
247,313.05286,0
248,313.38617,0
249,313.7195,0
250,314.05286,0
251,314.38617,0
252,314.7195,0
253,315.05286,0
254,315.38617,0
255,315.7195,0
256,316.05286,0
257,316.38617,0
258,316.7195,0
259,317.05286,0
260,317.38617,0
261,317.7195,0
262,318.05286,0
263,318.38617,0
264,318.7195,0
265,319.05286,0
266,319.38617,0
267,319.7195,0
268,320.05286,0
269,320.38617,0
270,320.7195,0
271,321.05286,0
272,321.38617,0
273,321.7195,0
274,322.05286,0
275,322.38617,0
276,322.7195,0
277,323.05286,0
278,323.38617,0
279,323.7195,0
280,324.05286,0
281,324.38617,0
282,324.7195,0
283,325.05286,0
284,325.38617,0
285,325.7195,0
286,326.05286,0
287,326.38617,0
288,326.7195,0
289,327.05286,0
290,327.38617,0
291,327.7195,0
292,328.05286,0
293,328.38617,0
294,328.7195,0
295,329.05286,0
296,329.38617,0
297,329.7195,0
298,330.05286,0
299,330.38617,0
