,bin_energy,event_count
0,143.61081,2
1,143.94414,0
2,144.27748,0
3,144.61081,1
4,144.94414,0
5,145.27748,0
6,145.61081,1
7,145.94414,0
8,146.27748,0
9,146.61081,0
10,146.94414,0
11,147.27748,0
12,147.61081,0
13,147.94414,0
14,148.27748,0
15,148.61081,0
16,148.94414,0
17,149.27748,0
18,149.61081,0
19,149.94414,1
20,150.27748,0
21,150.61081,1
22,150.94414,0
23,151.27748,0
24,151.61081,0
25,151.94414,1
26,152.27748,0
27,152.61081,0
28,152.94414,0
29,153.27748,0
30,153.61081,1
31,153.94414,0
32,154.27748,0
33,154.61081,0
34,154.94414,0
35,155.27748,0
36,155.61081,0
37,155.94414,0
38,156.27748,0
39,156.61081,0
40,156.94414,0
41,157.27748,0
42,157.61081,0
43,157.94414,1
44,158.27748,0
45,158.61081,0
46,158.94414,1
47,159.27748,0
48,159.61081,0
49,159.94414,0
50,160.27748,0
51,160.61081,0
52,160.94414,0
53,161.27748,1
54,161.61081,0
55,161.94414,0
56,162.27748,1
57,162.61081,0
58,162.94414,0
59,163.27748,0
60,163.61081,0
61,163.94414,0
62,164.27748,0
63,164.61081,0
64,164.94414,0
65,165.27748,1
66,165.61081,1
67,165.94414,0
68,166.27748,0
69,166.61081,1
70,166.94414,0
71,167.27748,0
72,167.61081,0
73,167.94414,0
74,168.27748,0
75,168.61081,0
76,168.94414,0
77,169.27748,0
78,169.61081,0
79,169.94414,0
80,170.27748,0
81,170.61081,0
82,170.94414,0
83,171.27748,0
84,171.61081,1
85,171.94414,0
86,172.27748,0
87,172.61081,1
88,172.94414,1
89,173.27748,1
90,173.61081,0
91,173.94414,0
92,174.27748,0
93,174.61081,1
94,174.94414,1
95,175.27748,1
96,175.61081,0
97,175.94414,0
98,176.27748,0
99,176.61081,0
100,176.94414,0
101,177.27748,0
102,177.61081,0
103,177.94414,1
104,178.27748,0
105,178.61081,0
106,178.94414,1
107,179.27748,0
108,179.61081,2
109,179.94414,1
110,180.27748,1
111,180.61081,0
112,180.94414,1
113,181.27748,2
114,181.61081,0
115,181.94414,0
116,182.27748,1
117,182.61081,0
118,182.94414,2
119,183.27748,2
120,183.61081,5
121,183.94414,4
122,184.27748,2
123,184.61081,8
124,184.94414,4
125,185.27748,5
126,185.61081,5
127,185.94414,4
128,186.27748,10
129,186.61081,13
130,186.94414,11
131,187.27748,9
132,187.61081,14
133,187.94414,17
134,188.27748,23
135,188.61081,23
136,188.94414,29
137,189.27748,39
138,189.61081,35
139,189.94414,38
140,190.27748,39
141,190.61081,60
142,190.94414,56
143,191.27748,59
144,191.61081,57
145,191.94414,67
146,192.27748,78
147,192.61081,69
148,192.94414,67
149,193.27748,73
150,193.61081,88
151,193.94414,84
152,194.27748,91
153,194.61081,88
154,194.94414,87
155,195.27748,78
156,195.61081,80
157,195.94414,72
158,196.27748,63
159,196.61081,77
160,196.94414,79
161,197.27748,44
162,197.61081,50
163,197.94414,52
164,198.27748,45
165,198.61081,40
166,198.94414,25
167,199.27748,42
168,199.61081,24
169,199.94414,16
170,200.27748,15
171,200.61081,19
172,200.94414,19
173,201.27748,8
174,201.61081,9
175,201.94414,10
176,202.27748,7
177,202.61081,7
178,202.94414,2
179,203.27748,1
180,203.61081,1
181,203.94414,2
182,204.27748,1
183,204.61081,1
184,204.94414,2
185,205.27748,1
186,205.61081,0
187,205.94414,0
188,206.27748,0
189,206.61081,0
190,206.94414,0
191,207.27748,0
192,207.61081,0
193,207.94414,0
194,208.27748,0
195,208.61081,0
196,208.94414,0
197,209.27748,0
198,209.61081,0
199,209.94414,0
200,210.27748,0
201,210.61081,0
202,210.94414,0
203,211.27748,0
204,211.61081,0
205,211.94414,0
206,212.27748,0
207,212.61081,0
208,212.94414,0
209,213.27748,0
210,213.61081,0
211,213.94414,0
212,214.27748,0
213,214.61081,0
214,214.94414,0
215,215.27748,0
216,215.61081,0
217,215.94414,0
218,216.27748,0
219,216.61081,0
220,216.94414,0
221,217.27748,0
222,217.61081,0
223,217.94414,0
224,218.27748,0
225,218.61081,0
226,218.94414,0
227,219.27748,0
228,219.61081,0
229,219.94414,0
230,220.27748,0
231,220.61081,0
232,220.94414,0
233,221.27748,0
234,221.61081,0
235,221.94414,0
236,222.27748,0
237,222.61081,0
238,222.94414,0
239,223.27748,0
240,223.61081,0
241,223.94414,0
242,224.27748,0
243,224.61081,0
244,224.94414,0
245,225.27748,0
246,225.61081,0
247,225.94414,0
248,226.27748,0
249,226.61081,0
250,226.94414,0
251,227.27748,0
252,227.61081,0
253,227.94414,0
254,228.27748,0
255,228.61081,0
256,228.94414,0
257,229.27748,0
258,229.61081,0
259,229.94414,0
260,230.27748,0
261,230.61081,0
262,230.94414,0
263,231.27748,0
264,231.61081,0
265,231.94414,0
266,232.27748,0
267,232.61081,0
268,232.94414,0
269,233.27748,0
270,233.61081,0
271,233.94414,0
272,234.27748,0
273,234.61081,0
274,234.94414,0
275,235.27748,0
276,235.61081,0
277,235.94414,0
278,236.27748,0
279,236.61081,0
280,236.94414,0
281,237.27748,0
282,237.61081,0
283,237.94414,0
284,238.27748,0
285,238.61081,0
286,238.94414,0
287,239.27748,0
288,239.61081,0
289,239.94414,0
290,240.27748,0
291,240.61081,0
292,240.94414,0
293,241.27748,0
294,241.61081,0
295,241.94414,0
296,242.27748,0
297,242.61081,0
298,242.94414,0
299,243.27748,0
