,bin_energy,event_count
0,27.333473,0
1,27.666807,0
2,28.00014,0
3,28.333473,0
4,28.666807,0
5,29.00014,0
6,29.333473,0
7,29.666807,0
8,30.00014,1
9,30.333473,0
10,30.666807,0
11,31.00014,0
12,31.333473,0
13,31.666807,0
14,32.00014,0
15,32.333473,0
16,32.666805,0
17,33.00014,0
18,33.333473,0
19,33.666805,0
20,34.00014,0
21,34.333473,0
22,34.666805,0
23,35.00014,1
24,35.333473,0
25,35.666805,0
26,36.00014,0
27,36.333473,0
28,36.666805,0
29,37.00014,0
30,37.333473,0
31,37.666805,0
32,38.00014,0
33,38.333473,0
34,38.666805,0
35,39.00014,0
36,39.333473,0
37,39.666805,0
38,40.00014,0
39,40.333473,1
40,40.666805,0
41,41.00014,0
42,41.333473,0
43,41.666805,0
44,42.00014,0
45,42.333473,1
46,42.666805,0
47,43.00014,1
48,43.333473,0
49,43.666805,0
50,44.00014,1
51,44.333473,0
52,44.666805,0
53,45.00014,0
54,45.333473,0
55,45.666805,0
56,46.00014,0
57,46.333473,0
58,46.666805,0
59,47.00014,0
60,47.333473,0
61,47.666805,0
62,48.00014,0
63,48.333473,1
64,48.666805,0
65,49.00014,0
66,49.333473,0
67,49.666805,0
68,50.00014,2
69,50.333473,0
70,50.666805,0
71,51.00014,1
72,51.333473,0
73,51.666805,1
74,52.00014,0
75,52.333473,1
76,52.666805,0
77,53.00014,0
78,53.333473,0
79,53.666805,0
80,54.00014,0
81,54.333473,0
82,54.666805,0
83,55.00014,0
84,55.333473,0
85,55.666805,1
86,56.00014,0
87,56.333473,0
88,56.666805,0
89,57.00014,0
90,57.333473,1
91,57.666805,0
92,58.00014,0
93,58.333473,1
94,58.666805,2
95,59.00014,0
96,59.333473,2
97,59.666805,1
98,60.00014,0
99,60.333473,0
100,60.666805,1
101,61.00014,0
102,61.333473,0
103,61.666805,0
104,62.00014,1
105,62.333473,1
106,62.666805,3
107,63.00014,0
108,63.333473,1
109,63.666805,3
110,64.00014,1
111,64.33347,0
112,64.66681,1
113,65.00014,0
114,65.33347,2
115,65.66681,0
116,66.00014,1
117,66.33347,3
118,66.66681,1
119,67.00014,1
120,67.33347,1
121,67.66681,4
122,68.00014,3
123,68.33347,3
124,68.66681,3
125,69.00014,8
126,69.33347,3
127,69.66681,5
128,70.00014,4
129,70.33347,9
130,70.66681,13
131,71.00014,8
132,71.33347,11
133,71.66681,19
134,72.00014,16
135,72.33347,24
136,72.66681,31
137,73.00014,39
138,73.33347,42
139,73.66681,72
140,74.00014,81
141,74.33347,111
142,74.66681,91
143,75.00014,134
144,75.33347,151
145,75.66681,193
146,76.00014,183
147,76.33347,246
148,76.66681,239
149,77.00014,253
150,77.33347,242
151,77.66681,264
152,78.00014,284
153,78.33347,279
154,78.66681,229
155,79.00014,225
156,79.33347,170
157,79.66681,150
158,80.00014,128
159,80.33347,107
160,80.66681,98
161,81.00014,76
162,81.33347,64
163,81.66681,45
164,82.00014,39
165,82.33347,21
166,82.66681,17
167,83.00014,16
168,83.33347,10
169,83.66681,4
170,84.00014,7
171,84.33347,6
172,84.66681,1
173,85.00014,1
174,85.33347,0
175,85.66681,0
176,86.00014,0
177,86.33347,1
178,86.66681,0
179,87.00014,0
180,87.33347,0
181,87.66681,1
182,88.00014,0
183,88.33347,0
184,88.66681,0
185,89.00014,0
186,89.33347,0
187,89.66681,0
188,90.00014,0
189,90.33347,0
190,90.66681,0
191,91.00014,0
192,91.33347,0
193,91.66681,0
194,92.00014,0
195,92.33347,0
196,92.66681,0
197,93.00014,0
198,93.33347,0
199,93.66681,0
200,94.00014,0
201,94.33347,0
202,94.66681,0
203,95.00014,0
204,95.33347,0
205,95.66681,0
206,96.00014,0
207,96.33347,0
208,96.66681,0
209,97.00014,0
210,97.33347,0
211,97.66681,0
212,98.00014,0
213,98.33347,0
214,98.66681,0
215,99.00014,0
216,99.33347,0
217,99.66681,0
218,100.00014,0
219,100.33347,0
220,100.66681,0
221,101.00014,0
222,101.33347,0
223,101.66681,0
224,102.00014,0
225,102.33347,0
226,102.66681,0
227,103.00014,0
228,103.33347,0
229,103.66681,0
230,104.00014,0
231,104.33347,0
232,104.66681,0
233,105.00014,0
234,105.33347,0
235,105.66681,0
236,106.00014,0
237,106.33347,0
238,106.66681,0
239,107.00014,0
240,107.33347,0
241,107.66681,0
242,108.00014,0
243,108.33347,0
244,108.66681,0
245,109.00014,0
246,109.33347,0
247,109.66681,0
248,110.00014,0
249,110.33347,0
250,110.66681,0
251,111.00014,0
252,111.33347,0
253,111.66681,0
254,112.00014,0
255,112.33347,0
256,112.66681,0
257,113.00014,0
258,113.33347,0
259,113.66681,0
260,114.00014,0
261,114.33347,0
262,114.66681,0
263,115.00014,0
264,115.33347,0
265,115.66681,0
266,116.00014,0
267,116.33347,0
268,116.66681,0
269,117.00014,0
270,117.33347,0
271,117.66681,0
272,118.00014,0
273,118.33347,0
274,118.66681,0
275,119.00014,0
276,119.33347,0
277,119.66681,0
278,120.00014,0
279,120.33347,0
280,120.66681,0
281,121.00014,0
282,121.33347,0
283,121.66681,0
284,122.00014,0
285,122.33347,0
286,122.66681,0
287,123.00014,0
288,123.33347,0
289,123.66681,0
290,124.00014,0
291,124.33347,0
292,124.66681,0
293,125.00014,0
294,125.33347,0
295,125.66681,0
296,126.00014,0
297,126.33347,0
298,126.66681,0
299,127.00014,0
