,energy_GeV,event_count
0,147.36453,0
1,147.78453,0
2,148.20453,1
3,148.62453,0
4,149.04453,0
5,149.46454,0
6,149.88454,0
7,150.30453,0
8,150.72453,0
9,151.14453,0
10,151.56453,0
11,151.98453,1
12,152.40453,0
13,152.82454,0
14,153.24454,0
15,153.66454,0
16,154.08453,0
17,154.50453,0
18,154.92453,0
19,155.34453,1
20,155.76453,1
21,156.18454,0
22,156.60454,0
23,157.02454,0
24,157.44453,0
25,157.86453,0
26,158.28453,0
27,158.70453,0
28,159.12453,0
29,159.54453,0
30,159.96454,0
31,160.38454,0
32,160.80453,0
33,161.22453,0
34,161.64453,2
35,162.06453,1
36,162.48453,0
37,162.90453,0
38,163.32454,0
39,163.74454,0
40,164.16454,1
41,164.58453,0
42,165.00453,0
43,165.42453,0
44,165.84453,0
45,166.26453,1
46,166.68454,1
47,167.10454,0
48,167.52454,1
49,167.94453,0
50,168.36453,1
51,168.78453,0
52,169.20453,1
53,169.62453,0
54,170.04453,0
55,170.46454,1
56,170.88454,0
57,171.30453,0
58,171.72453,1
59,172.14453,0
60,172.56453,0
61,172.98453,1
62,173.40453,0
63,173.82454,1
64,174.24454,0
65,174.66454,1
66,175.08453,0
67,175.50453,0
68,175.92453,1
69,176.34453,0
70,176.76453,4
71,177.18454,3
72,177.60454,2
73,178.02454,1
74,178.44453,2
75,178.86453,0
76,179.28453,2
77,179.70453,7
78,180.12453,6
79,180.54453,6
80,180.96454,7
81,181.38454,7
82,181.80453,7
83,182.22453,13
84,182.64453,12
85,183.06453,23
86,183.48453,16
87,183.90453,30
88,184.32454,34
89,184.74454,28
90,185.16454,46
91,185.58453,56
92,186.00453,46
93,186.42453,58
94,186.84453,80
95,187.26453,71
96,187.68454,87
97,188.10454,73
98,188.52454,93
99,188.94453,95
100,189.36453,115
101,189.78453,122
102,190.20453,129
103,190.62453,117
104,191.04453,91
105,191.46454,101
106,191.88454,95
107,192.30453,69
108,192.72453,79
109,193.14453,70
110,193.56453,63
111,193.98453,56
112,194.40453,57
113,194.82454,34
114,195.24454,30
115,195.66454,24
116,196.08453,21
117,196.50453,22
118,196.92453,15
119,197.34453,10
120,197.76453,11
121,198.18454,5
122,198.60454,3
123,199.02454,3
124,199.44453,2
125,199.86453,2
126,200.28453,1
127,200.70453,1
128,201.12453,1
129,201.54453,0
130,201.96454,0
131,202.38454,0
132,202.80453,0
133,203.22453,0
134,203.64453,0
135,204.06453,0
136,204.48453,0
137,204.90453,0
138,205.32454,0
139,205.74454,0
140,206.16454,0
141,206.58453,0
142,207.00453,0
143,207.42453,0
144,207.84453,0
145,208.26453,0
146,208.68454,0
147,209.10454,0
148,209.52454,0
149,209.94453,0
150,210.36453,0
151,210.78453,0
152,211.20453,0
153,211.62453,0
154,212.04453,0
155,212.46454,0
156,212.88454,0
157,213.30453,0
158,213.72453,0
159,214.14453,0
160,214.56453,0
161,214.98453,0
162,215.40453,0
163,215.82454,0
164,216.24454,0
165,216.66454,0
166,217.08453,0
167,217.50453,0
168,217.92453,0
169,218.34453,0
170,218.76453,0
171,219.18454,0
172,219.60454,0
173,220.02454,0
174,220.44453,0
175,220.86453,0
176,221.28453,0
177,221.70453,0
178,222.12453,0
179,222.54453,0
180,222.96454,0
181,223.38454,0
182,223.80453,0
183,224.22453,0
184,224.64453,0
185,225.06453,0
186,225.48453,0
187,225.90453,0
188,226.32454,0
189,226.74454,0
190,227.16454,0
191,227.58453,0
192,228.00453,0
193,228.42453,0
194,228.84453,0
195,229.26453,0
196,229.68454,0
197,230.10454,0
198,230.52454,0
199,230.94453,0
