,energy_GeV,event_count
0,67.04976,0
1,67.32976,0
2,67.60976,0
3,67.889755,0
4,68.16976,1
5,68.44976,0
6,68.72976,0
7,69.00976,1
8,69.28976,1
9,69.569756,0
10,69.84976,1
11,70.12976,1
12,70.40976,0
13,70.68976,0
14,70.96976,0
15,71.249756,0
16,71.52976,0
17,71.80976,0
18,72.08976,0
19,72.36976,0
20,72.64976,0
21,72.929756,0
22,73.20976,0
23,73.48976,0
24,73.76976,0
25,74.04976,1
26,74.32976,1
27,74.60976,0
28,74.889755,0
29,75.16976,0
30,75.44976,0
31,75.72976,0
32,76.00976,0
33,76.28976,0
34,76.569756,0
35,76.84976,2
36,77.12976,1
37,77.40976,0
38,77.68976,1
39,77.96976,0
40,78.249756,3
41,78.52976,0
42,78.80976,0
43,79.08976,1
44,79.36976,1
45,79.64976,1
46,79.929756,0
47,80.20976,0
48,80.48976,1
49,80.76976,0
50,81.04976,0
51,81.32976,1
52,81.60976,1
53,81.889755,1
54,82.16976,2
55,82.44976,0
56,82.72976,0
57,83.00976,0
58,83.28976,0
59,83.569756,0
60,83.84976,2
61,84.12976,2
62,84.40976,0
63,84.68976,1
64,84.96976,0
65,85.249756,1
66,85.52976,1
67,85.80976,1
68,86.08976,0
69,86.36976,4
70,86.64976,1
71,86.929756,0
72,87.20976,2
73,87.48976,2
74,87.76976,4
75,88.04976,2
76,88.32976,7
77,88.60976,9
78,88.889755,9
79,89.16976,10
80,89.44976,11
81,89.72976,21
82,90.00976,17
83,90.28976,27
84,90.569756,24
85,90.84976,35
86,91.12976,40
87,91.40976,44
88,91.68976,59
89,91.96976,61
90,92.249756,73
91,92.52976,86
92,92.80976,93
93,93.08976,86
94,93.36976,126
95,93.64976,118
96,93.929756,121
97,94.20976,127
98,94.48976,120
99,94.76976,133
100,95.04976,138
101,95.32976,152
102,95.60976,162
103,95.889755,124
104,96.16976,129
105,96.44976,122
106,96.72976,123
107,97.00976,124
108,97.28976,108
109,97.569756,97
110,97.84976,81
111,98.12976,68
112,98.40976,49
113,98.68976,46
114,98.96976,32
115,99.249756,31
116,99.52976,37
117,99.80976,22
118,100.08976,8
119,100.36976,15
120,100.64976,8
121,100.929756,8
122,101.20976,3
123,101.48976,7
124,101.76976,3
125,102.04976,2
126,102.32976,1
127,102.60976,3
128,102.889755,2
129,103.16976,1
130,103.44976,1
131,103.72976,1
132,104.00976,0
133,104.28976,0
134,104.569756,0
135,104.84976,0
136,105.12976,0
137,105.40976,0
138,105.68976,0
139,105.96976,0
140,106.249756,0
141,106.52976,0
142,106.80976,0
143,107.08976,0
144,107.36976,0
145,107.64976,1
146,107.929756,0
147,108.20976,0
148,108.48976,0
149,108.76976,0
150,109.04976,0
151,109.32976,0
152,109.60976,0
153,109.889755,0
154,110.16976,0
155,110.44976,0
156,110.72976,0
157,111.00976,0
158,111.28976,0
159,111.569756,0
160,111.84976,0
161,112.12976,0
162,112.40976,0
163,112.68976,0
164,112.96976,0
165,113.249756,0
166,113.52976,1
167,113.80976,0
168,114.08976,0
169,114.36976,0
170,114.64976,0
171,114.929756,0
172,115.20976,0
173,115.48976,0
174,115.76976,0
175,116.04976,0
176,116.32976,0
177,116.60976,0
178,116.889755,0
179,117.16976,0
180,117.44976,0
181,117.72976,0
182,118.00976,0
183,118.28976,0
184,118.569756,0
185,118.84976,0
186,119.12976,0
187,119.40976,0
188,119.68976,0
189,119.96976,0
190,120.249756,0
191,120.52976,0
192,120.80976,0
193,121.08976,0
194,121.36976,0
195,121.64976,0
196,121.929756,0
197,122.20976,0
198,122.48976,0
199,122.76976,0
