,energy_GeV,event_count
0,107.98749,0
1,108.33749,0
2,108.687485,0
3,109.03749,0
4,109.38749,0
5,109.73749,1
6,110.08749,1
7,110.437485,0
8,110.78749,0
9,111.13749,0
10,111.48749,0
11,111.83749,1
12,112.187485,1
13,112.53749,0
14,112.88749,0
15,113.23749,0
16,113.58749,0
17,113.937485,0
18,114.28749,1
19,114.63749,1
20,114.98749,0
21,115.33749,0
22,115.687485,0
23,116.03749,0
24,116.38749,0
25,116.73749,1
26,117.08749,0
27,117.437485,0
28,117.78749,0
29,118.13749,0
30,118.48749,1
31,118.83749,0
32,119.187485,0
33,119.53749,0
34,119.88749,0
35,120.23749,0
36,120.58749,0
37,120.937485,1
38,121.28749,0
39,121.63749,0
40,121.98749,0
41,122.33749,0
42,122.687485,0
43,123.03749,0
44,123.38749,1
45,123.73749,0
46,124.08749,2
47,124.437485,0
48,124.78749,0
49,125.13749,0
50,125.48749,0
51,125.83749,2
52,126.187485,0
53,126.53749,0
54,126.88749,0
55,127.23749,0
56,127.58749,3
57,127.937485,1
58,128.28749,0
59,128.63748,1
60,128.98749,0
61,129.3375,0
62,129.68748,3
63,130.03749,0
64,130.38748,1
65,130.73749,0
66,131.0875,1
67,131.43748,3
68,131.78749,0
69,132.13748,0
70,132.48749,0
71,132.8375,6
72,133.18748,3
73,133.53749,6
74,133.88748,3
75,134.23749,6
76,134.5875,5
77,134.93748,3
78,135.28749,6
79,135.63748,5
80,135.98749,11
81,136.3375,8
82,136.68748,13
83,137.03749,14
84,137.38748,20
85,137.73749,21
86,138.0875,19
87,138.43748,33
88,138.78749,34
89,139.13748,58
90,139.48749,60
91,139.8375,63
92,140.18748,79
93,140.53749,70
94,140.88748,99
95,141.23749,92
96,141.5875,120
97,141.93748,130
98,142.28749,112
99,142.63748,133
100,142.98749,152
101,143.3375,144
102,143.68748,157
103,144.03749,117
104,144.38748,135
105,144.73749,125
106,145.0875,122
107,145.43748,99
108,145.78749,104
109,146.13748,89
110,146.48749,73
111,146.8375,79
112,147.18748,52
113,147.53749,61
114,147.88748,47
115,148.23749,42
116,148.5875,28
117,148.93748,29
118,149.28749,17
119,149.63748,11
120,149.98749,14
121,150.3375,6
122,150.68748,7
123,151.03749,4
124,151.38748,2
125,151.73749,2
126,152.0875,2
127,152.43748,2
128,152.78749,3
129,153.13748,3
130,153.48749,1
131,153.8375,0
132,154.18748,0
133,154.53749,0
134,154.88748,0
135,155.23749,0
136,155.5875,0
137,155.93748,0
138,156.28749,0
139,156.63748,0
140,156.98749,0
141,157.3375,0
142,157.68748,0
143,158.03749,0
144,158.38748,0
145,158.73749,0
146,159.0875,0
147,159.43748,0
148,159.78749,0
149,160.13748,0
150,160.48749,0
151,160.8375,0
152,161.18748,0
153,161.53749,0
154,161.88748,0
155,162.23749,0
156,162.5875,0
157,162.93748,0
158,163.28749,0
159,163.63748,0
160,163.98749,0
161,164.3375,0
162,164.68748,0
163,165.03749,0
164,165.38748,0
165,165.73749,0
166,166.0875,0
167,166.43748,0
168,166.78749,0
169,167.13748,0
170,167.48749,0
171,167.8375,0
172,168.18748,0
173,168.53749,0
174,168.88748,0
175,169.23749,0
176,169.5875,0
177,169.93748,0
178,170.28749,1
179,170.63748,0
180,170.98749,0
181,171.3375,0
182,171.68748,0
183,172.03749,0
184,172.38748,0
185,172.73749,0
186,173.0875,0
187,173.43748,1
188,173.78749,1
189,174.13748,0
190,174.48749,0
191,174.8375,0
192,175.18748,0
193,175.53749,0
194,175.88748,0
195,176.23749,0
196,176.5875,0
197,176.93748,0
198,177.28749,0
199,177.63748,0
