,energy_GeV,event_count
0,202.51181,0
1,203.00182,0
2,203.4918,0
3,203.98181,0
4,204.47182,0
5,204.9618,0
6,205.45181,0
7,205.9418,0
8,206.43181,0
9,206.92181,0
10,207.4118,0
11,207.90181,0
12,208.39182,0
13,208.8818,0
14,209.37181,0
15,209.86182,0
16,210.3518,0
17,210.84181,0
18,211.33182,0
19,211.82181,0
20,212.31181,0
21,212.8018,0
22,213.29181,0
23,213.78181,0
24,214.2718,0
25,214.76181,1
26,215.25182,0
27,215.7418,0
28,216.23181,0
29,216.72182,0
30,217.2118,1
31,217.70181,1
32,218.1918,0
33,218.68181,0
34,219.17181,0
35,219.6618,0
36,220.15181,0
37,220.64182,0
38,221.1318,0
39,221.62181,1
40,222.11182,0
41,222.6018,0
42,223.09181,1
43,223.58182,0
44,224.07181,0
45,224.56181,0
46,225.0518,0
47,225.54181,0
48,226.03181,0
49,226.5218,0
50,227.01181,3
51,227.50182,1
52,227.9918,1
53,228.48181,1
54,228.97182,1
55,229.4618,1
56,229.95181,2
57,230.4418,2
58,230.93181,3
59,231.42181,6
60,231.9118,5
61,232.40181,1
62,232.89182,5
63,233.3818,5
64,233.87181,0
65,234.36182,5
66,234.8518,7
67,235.34181,7
68,235.83182,6
69,236.32181,7
70,236.81181,13
71,237.3018,14
72,237.79181,18
73,238.28181,14
74,238.7718,21
75,239.26181,22
76,239.75182,28
77,240.2418,45
78,240.73181,41
79,241.22182,58
80,241.7118,78
81,242.20181,85
82,242.6918,118
83,243.18181,163
84,243.67181,198
85,244.1618,238
86,244.65181,333
87,245.14182,379
88,245.6318,455
89,246.12181,503
90,246.61182,543
91,247.1018,707
92,247.59181,766
93,248.08182,900
94,248.57181,1043
95,249.06181,1137
96,249.5518,1260
97,250.04181,1258
98,250.53181,1281
99,251.0218,1389
100,251.51181,1418
101,252.00182,1417
102,252.4918,1404
103,252.98181,1359
104,253.47182,1284
105,253.9618,1233
106,254.45181,1182
107,254.9418,1072
108,255.43181,943
109,255.92181,775
110,256.4118,722
111,256.90182,629
112,257.3918,484
113,257.8818,400
114,258.3718,360
115,258.86182,305
116,259.3518,218
117,259.8418,179
118,260.33182,139
119,260.8218,108
120,261.3118,81
121,261.80182,49
122,262.2918,47
123,262.7818,34
124,263.27182,12
125,263.7618,13
126,264.2518,10
127,264.74182,4
128,265.2318,2
129,265.7218,3
130,266.21182,1
131,266.7018,0
132,267.1918,0
133,267.68182,0
134,268.1718,0
135,268.6618,0
136,269.15182,0
137,269.6418,0
138,270.1318,0
139,270.6218,0
140,271.11182,0
141,271.6018,0
142,272.0918,0
143,272.58182,0
144,273.0718,0
145,273.5618,0
146,274.05182,0
147,274.5418,0
148,275.0318,0
149,275.52182,0
150,276.0118,0
151,276.5018,0
152,276.99182,0
153,277.4818,0
154,277.9718,0
155,278.46182,0
156,278.9518,0
157,279.4418,0
158,279.93182,0
159,280.4218,0
160,280.9118,0
161,281.40182,0
162,281.8918,0
163,282.3818,0
164,282.8718,0
165,283.36182,0
166,283.8518,0
167,284.3418,0
168,284.83182,0
169,285.3218,0
170,285.8118,0
171,286.30182,0
172,286.7918,0
173,287.2818,0
174,287.77182,0
175,288.2618,0
176,288.7518,0
177,289.24182,0
178,289.7318,0
179,290.2218,0
180,290.71182,0
181,291.2018,0
182,291.6918,0
183,292.18182,0
184,292.6718,0
185,293.1618,0
186,293.65182,0
187,294.1418,0
188,294.6318,0
189,295.1218,0
190,295.61182,0
191,296.1018,0
192,296.5918,0
193,297.08182,0
194,297.5718,0
195,298.0618,0
196,298.55182,0
197,299.0418,0
198,299.5318,0
199,300.02182,0
