,energy_GeV,event_count
0,73.14472,0
1,73.42472,0
2,73.70472,0
3,73.98472,0
4,74.264725,0
5,74.54472,0
6,74.82472,0
7,75.10472,0
8,75.38472,1
9,75.66472,2
10,75.944725,0
11,76.224724,0
12,76.50472,0
13,76.78472,0
14,77.06472,0
15,77.34472,1
16,77.624725,0
17,77.904724,0
18,78.18472,1
19,78.46472,0
20,78.74472,0
21,79.02472,0
22,79.304726,0
23,79.584724,0
24,79.86472,0
25,80.14472,1
26,80.42472,0
27,80.70472,0
28,80.98472,0
29,81.264725,0
30,81.54472,2
31,81.82472,2
32,82.10472,0
33,82.38472,0
34,82.66472,0
35,82.944725,0
36,83.224724,0
37,83.50472,0
38,83.78472,3
39,84.06472,1
40,84.34472,1
41,84.624725,1
42,84.904724,0
43,85.18472,0
44,85.46472,2
45,85.74472,0
46,86.02472,0
47,86.304726,1
48,86.584724,0
49,86.86472,0
50,87.14472,0
51,87.42472,1
52,87.70472,0
53,87.98472,1
54,88.264725,2
55,88.54472,0
56,88.82472,3
57,89.10472,2
58,89.38472,3
59,89.66472,6
60,89.944725,6
61,90.224724,7
62,90.50472,8
63,90.78472,11
64,91.06472,6
65,91.34472,14
66,91.624725,15
67,91.904724,12
68,92.18472,17
69,92.46472,24
70,92.74472,34
71,93.02472,41
72,93.304726,53
73,93.584724,67
74,93.86472,75
75,94.14472,91
76,94.42472,124
77,94.70472,127
78,94.98472,190
79,95.264725,208
80,95.54472,235
81,95.82472,263
82,96.10472,295
83,96.38472,353
84,96.66472,398
85,96.944725,505
86,97.224724,512
87,97.50472,557
88,97.78472,617
89,98.06472,679
90,98.34472,709
91,98.624725,821
92,98.904724,887
93,99.18472,973
94,99.46472,1078
95,99.74472,1030
96,100.02472,1134
97,100.304726,1194
98,100.584724,1162
99,100.86472,1235
100,101.14472,1309
101,101.42472,1291
102,101.70472,1407
103,101.98472,1347
104,102.264725,1261
105,102.54472,1252
106,102.82472,1222
107,103.10472,1120
108,103.38472,1040
109,103.66472,1001
110,103.944725,937
111,104.224724,876
112,104.50472,751
113,104.78472,641
114,105.06472,567
115,105.34472,527
116,105.624725,428
117,105.904724,358
118,106.18472,315
119,106.46472,261
120,106.74472,188
121,107.02472,151
122,107.304726,116
123,107.584724,109
124,107.86472,70
125,108.14472,44
126,108.42472,45
127,108.70472,32
128,108.98472,13
129,109.264725,14
130,109.54472,17
131,109.82472,7
132,110.10472,6
133,110.38472,5
134,110.66472,4
135,110.944725,6
136,111.224724,1
137,111.50472,1
138,111.78472,1
139,112.06472,0
140,112.34472,0
141,112.624725,1
142,112.904724,0
143,113.18472,0
144,113.46472,0
145,113.74472,0
146,114.02472,0
147,114.304726,0
148,114.584724,0
149,114.86472,0
150,115.14472,0
151,115.42472,0
152,115.70472,0
153,115.98472,0
154,116.264725,0
155,116.54472,0
156,116.82472,0
157,117.10472,0
158,117.38472,0
159,117.66472,0
160,117.944725,0
161,118.224724,0
162,118.50472,0
163,118.78472,0
164,119.06472,0
165,119.34472,0
166,119.624725,0
167,119.904724,0
168,120.18472,0
169,120.46472,0
170,120.74472,0
171,121.02472,0
172,121.304726,0
173,121.584724,0
174,121.86472,0
175,122.14472,0
176,122.42472,0
177,122.70472,0
178,122.98472,0
179,123.264725,0
180,123.54472,0
181,123.82472,0
182,124.10472,0
183,124.38472,0
184,124.66472,0
185,124.944725,0
186,125.224724,0
187,125.50472,0
188,125.78472,0
189,126.06472,0
190,126.34472,0
191,126.624725,0
192,126.904724,0
193,127.18472,0
194,127.46472,0
195,127.74472,0
196,128.02472,0
197,128.30472,0
198,128.58472,0
199,128.86472,0
