,energy_GeV,event_count
0,60.305084,0
1,60.515083,0
2,60.725082,1
3,60.935085,2
4,61.145084,2
5,61.355083,0
6,61.565083,1
7,61.775085,1
8,61.985085,1
9,62.195084,0
10,62.405083,1
11,62.615086,2
12,62.825085,0
13,63.035084,0
14,63.245083,0
15,63.455086,1
16,63.665085,0
17,63.875084,2
18,64.08508,0
19,64.29508,1
20,64.50508,0
21,64.71509,1
22,64.92509,1
23,65.135086,0
24,65.345085,1
25,65.555084,1
26,65.76508,1
27,65.97508,1
28,66.18508,0
29,66.39508,0
30,66.60509,1
31,66.81509,0
32,67.025085,3
33,67.235085,0
34,67.44508,3
35,67.65508,1
36,67.86508,0
37,68.07508,1
38,68.28509,1
39,68.49509,2
40,68.705086,0
41,68.915085,2
42,69.125084,0
43,69.33508,5
44,69.54508,1
45,69.75508,0
46,69.96509,1
47,70.17509,0
48,70.385086,1
49,70.595085,0
50,70.805084,0
51,71.01508,3
52,71.22508,3
53,71.43508,3
54,71.64508,1
55,71.85509,2
56,72.06509,2
57,72.275085,3
58,72.485085,4
59,72.69508,1
60,72.90508,2
61,73.11508,3
62,73.32508,8
63,73.53509,4
64,73.74509,8
65,73.955086,11
66,74.165085,12
67,74.375084,14
68,74.58508,17
69,74.79508,28
70,75.00508,32
71,75.21509,30
72,75.42509,43
73,75.635086,65
74,75.845085,63
75,76.055084,93
76,76.26508,106
77,76.47508,117
78,76.68508,161
79,76.89508,188
80,77.10509,245
81,77.31509,239
82,77.525085,319
83,77.735085,332
84,77.94508,411
85,78.15508,504
86,78.36508,528
87,78.57508,628
88,78.78509,668
89,78.99509,769
90,79.205086,854
91,79.415085,893
92,79.625084,1013
93,79.83508,1108
94,80.04508,1184
95,80.25508,1176
96,80.46509,1250
97,80.67509,1283
98,80.885086,1319
99,81.095085,1366
100,81.305084,1429
101,81.51508,1324
102,81.72508,1438
103,81.93508,1338
104,82.14508,1287
105,82.35509,1246
106,82.56509,1213
107,82.775085,1099
108,82.985085,1037
109,83.19508,955
110,83.40508,863
111,83.61508,817
112,83.82508,765
113,84.03509,659
114,84.24509,641
115,84.455086,495
116,84.665085,467
117,84.875084,374
118,85.08508,312
119,85.29508,272
120,85.50508,245
121,85.71509,202
122,85.92509,174
123,86.135086,145
124,86.345085,95
125,86.555084,91
126,86.76508,66
127,86.97508,53
128,87.18508,58
129,87.39508,37
130,87.60509,29
131,87.81509,20
132,88.025085,14
133,88.235085,11
134,88.44508,9
135,88.65508,5
136,88.86508,7
137,89.07508,5
138,89.28509,4
139,89.49509,1
140,89.705086,2
141,89.915085,0
142,90.125084,1
143,90.33508,0
144,90.54508,0
145,90.75508,0
146,90.96509,0
147,91.17509,0
148,91.385086,1
149,91.595085,1
150,91.805084,0
151,92.01508,0
152,92.22508,0
153,92.43508,0
154,92.64508,0
155,92.85509,0
156,93.06509,0
157,93.275085,0
158,93.485085,0
159,93.69508,0
160,93.90508,0
161,94.11508,0
162,94.32508,0
163,94.53509,0
164,94.74509,0
165,94.955086,0
166,95.165085,0
167,95.375084,0
168,95.58508,0
169,95.79508,0
170,96.00508,0
171,96.21509,0
172,96.42509,0
173,96.635086,0
174,96.845085,0
175,97.055084,0
176,97.26508,0
177,97.47508,0
178,97.68508,0
179,97.89508,0
180,98.10509,0
181,98.31509,0
182,98.525085,0
183,98.735085,0
184,98.94508,0
185,99.15508,0
186,99.36508,0
187,99.57508,0
188,99.78509,0
189,99.99509,0
190,100.205086,0
191,100.415085,0
192,100.625084,0
193,100.83508,0
194,101.04508,0
195,101.25508,0
196,101.46509,0
197,101.67509,0
198,101.885086,0
199,102.095085,0
