,energy_GeV,event_count
0,22.749197,0
1,22.819197,5
2,22.889196,2
3,22.959196,1
4,23.029198,2
5,23.099197,1
6,23.169197,5
7,23.239197,2
8,23.309196,4
9,23.379196,5
10,23.449198,2
11,23.519197,0
12,23.589197,5
13,23.659197,3
14,23.729197,3
15,23.799196,6
16,23.869198,3
17,23.939198,5
18,24.009197,2
19,24.079197,1
20,24.149197,2
21,24.219196,1
22,24.289198,7
23,24.359198,6
24,24.429197,4
25,24.499197,3
26,24.569197,2
27,24.639196,1
28,24.709196,3
29,24.779198,5
30,24.849197,3
31,24.919197,5
32,24.989197,5
33,25.059196,4
34,25.129196,3
35,25.199198,4
36,25.269197,7
37,25.339197,8
38,25.409197,9
39,25.479197,5
40,25.549196,7
41,25.619198,7
42,25.689198,11
43,25.759197,12
44,25.829197,9
45,25.899197,9
46,25.969196,17
47,26.039198,22
48,26.109198,17
49,26.179197,18
50,26.249197,17
51,26.319197,21
52,26.389196,33
53,26.459196,28
54,26.529198,40
55,26.599197,40
56,26.669197,43
57,26.739197,48
58,26.809196,53
59,26.879196,56
60,26.949198,60
61,27.019197,72
62,27.089197,79
63,27.159197,98
64,27.229197,92
65,27.299196,117
66,27.369198,123
67,27.439198,135
68,27.509197,129
69,27.579197,163
70,27.649197,177
71,27.719196,190
72,27.789198,226
73,27.859198,231
74,27.929197,261
75,27.999197,276
76,28.069197,327
77,28.139196,312
78,28.209196,358
79,28.279198,398
80,28.349197,391
81,28.419197,452
82,28.489197,491
83,28.559196,485
84,28.629196,529
85,28.699198,527
86,28.769197,527
87,28.839197,613
88,28.909197,638
89,28.979197,660
90,29.049196,683
91,29.119198,681
92,29.189198,762
93,29.259197,779
94,29.329197,811
95,29.399197,808
96,29.469196,881
97,29.539198,895
98,29.609198,905
99,29.679197,884
100,29.749197,901
101,29.819197,877
102,29.889196,925
103,29.959196,888
104,30.029198,892
105,30.099197,906
106,30.169197,948
107,30.239197,865
108,30.309196,902
109,30.379196,858
110,30.449198,924
111,30.519197,818
112,30.589197,849
113,30.659197,823
114,30.729197,838
115,30.799196,730
116,30.869198,747
117,30.939198,735
118,31.009197,717
119,31.079197,697
120,31.149197,634
121,31.219196,567
122,31.289198,554
123,31.359198,598
124,31.429197,525
125,31.499197,471
126,31.569197,479
127,31.639196,454
128,31.709196,396
129,31.779198,385
130,31.849197,358
131,31.919197,329
132,31.989197,322
133,32.059196,261
134,32.129196,249
135,32.199196,197
136,32.269196,193
137,32.339195,198
138,32.4092,201
139,32.4792,151
140,32.5492,159
141,32.619198,148
142,32.689198,133
143,32.759197,96
144,32.829197,93
145,32.899197,93
146,32.969196,74
147,33.039196,73
148,33.109196,65
149,33.179195,67
150,33.2492,51
151,33.3192,46
152,33.3892,30
153,33.459198,38
154,33.529198,25
155,33.599197,23
156,33.669197,22
157,33.739197,18
158,33.809196,13
159,33.879196,16
160,33.949196,17
161,34.019196,12
162,34.089195,11
163,34.1592,9
164,34.2292,6
165,34.2992,4
166,34.369198,6
167,34.439198,3
168,34.509197,4
169,34.579197,4
170,34.649197,2
171,34.719196,4
172,34.789196,0
173,34.859196,6
174,34.929195,1
175,34.9992,0
176,35.0692,1
177,35.1392,0
178,35.209198,0
179,35.279198,1
180,35.349197,0
181,35.419197,0
182,35.489197,0
183,35.559196,0
184,35.629196,0
185,35.699196,0
186,35.769196,1
187,35.839195,1
188,35.9092,0
189,35.9792,1
190,36.0492,0
191,36.119198,0
192,36.189198,1
193,36.259197,0
194,36.329197,0
195,36.399197,0
196,36.469196,0
197,36.539196,0
198,36.609196,0
199,36.679195,0
