,energy_GeV,event_count
0,237.70758,1
1,238.26758,2
2,238.82758,0
3,239.38757,0
4,239.94759,0
5,240.50758,0
6,241.06758,0
7,241.62758,0
8,242.18758,1
9,242.74757,1
10,243.30759,0
11,243.86758,0
12,244.42758,0
13,244.98758,0
14,245.54758,1
15,246.10757,1
16,246.66759,2
17,247.22758,2
18,247.78758,1
19,248.34758,0
20,248.90758,0
21,249.46758,1
22,250.02759,1
23,250.58759,1
24,251.14758,0
25,251.70758,0
26,252.26758,1
27,252.82758,0
28,253.38757,3
29,253.94759,1
30,254.50758,1
31,255.06758,0
32,255.62758,2
33,256.1876,0
34,256.7476,0
35,257.3076,2
36,257.86758,1
37,258.42758,1
38,258.98758,2
39,259.54758,0
40,260.10757,1
41,260.66757,1
42,261.22757,0
43,261.78757,1
44,262.3476,0
45,262.9076,2
46,263.4676,2
47,264.0276,3
48,264.5876,0
49,265.14758,1
50,265.70758,2
51,266.26758,1
52,266.82758,2
53,267.38757,2
54,267.94757,2
55,268.50757,2
56,269.06757,2
57,269.6276,1
58,270.1876,3
59,270.7476,6
60,271.3076,5
61,271.86758,5
62,272.42758,5
63,272.98758,5
64,273.54758,4
65,274.10757,5
66,274.66757,6
67,275.22757,5
68,275.78757,11
69,276.3476,17
70,276.9076,15
71,277.4676,16
72,278.0276,18
73,278.5876,26
74,279.14758,29
75,279.70758,34
76,280.26758,40
77,280.82758,33
78,281.38757,56
79,281.94757,57
80,282.50757,78
81,283.06757,95
82,283.6276,114
83,284.1876,125
84,284.7476,149
85,285.3076,181
86,285.86758,205
87,286.42758,253
88,286.98758,287
89,287.54758,342
90,288.10757,416
91,288.66757,473
92,289.22757,604
93,289.78757,678
94,290.3476,821
95,290.9076,881
96,291.4676,1065
97,292.0276,1138
98,292.5876,1255
99,293.14758,1403
100,293.70758,1575
101,294.26758,1581
102,294.82758,1673
103,295.38757,1830
104,295.94757,1821
105,296.50757,1817
106,297.06757,1744
107,297.6276,1801
108,298.1876,1712
109,298.7476,1574
110,299.3076,1462
111,299.86758,1344
112,300.42758,1241
113,300.98758,1062
114,301.54758,1005
115,302.10757,853
116,302.66757,782
117,303.22757,621
118,303.78757,513
119,304.3476,417
120,304.9076,338
121,305.4676,238
122,306.0276,212
123,306.5876,143
124,307.14758,114
125,307.70758,93
126,308.26758,63
127,308.82758,38
128,309.38757,26
129,309.94757,17
130,310.50757,18
131,311.06757,10
132,311.6276,4
133,312.1876,5
134,312.7476,3
135,313.3076,1
136,313.86758,2
137,314.42758,1
138,314.98758,0
139,315.54758,0
140,316.10757,0
141,316.66757,0
142,317.22757,0
143,317.78757,1
144,318.3476,0
145,318.9076,0
146,319.4676,0
147,320.0276,0
148,320.5876,0
149,321.14758,0
150,321.70758,0
151,322.26758,0
152,322.82758,0
153,323.38757,0
154,323.94757,0
155,324.50757,0
156,325.06757,0
157,325.6276,0
158,326.1876,0
159,326.7476,0
160,327.3076,0
161,327.86758,0
162,328.42758,0
163,328.98758,0
164,329.54758,0
165,330.10757,0
166,330.66757,0
167,331.22757,0
168,331.78757,0
169,332.3476,0
170,332.9076,0
171,333.4676,0
172,334.0276,0
173,334.5876,0
174,335.14758,0
175,335.70758,0
176,336.26758,0
177,336.82758,0
178,337.38757,0
179,337.94757,0
180,338.50757,0
181,339.06757,0
182,339.6276,0
183,340.1876,0
184,340.7476,0
185,341.3076,0
186,341.86758,0
187,342.42758,0
188,342.98758,0
189,343.54758,0
190,344.10757,0
191,344.66757,0
192,345.22757,0
193,345.78757,0
194,346.3476,0
195,346.9076,0
196,347.4676,0
197,348.0276,0
198,348.5876,0
199,349.14758,0
