,energy_GeV,event_count
0,36.27255,3
1,36.412548,3
2,36.552547,1
3,36.692547,3
4,36.83255,1
5,36.97255,2
6,37.11255,1
7,37.25255,1
8,37.392548,1
9,37.532547,1
10,37.67255,0
11,37.81255,3
12,37.95255,1
13,38.09255,0
14,38.232548,1
15,38.372547,1
16,38.51255,1
17,38.65255,4
18,38.79255,5
19,38.93255,2
20,39.072548,1
21,39.212547,1
22,39.35255,0
23,39.49255,3
24,39.63255,2
25,39.77255,0
26,39.912548,1
27,40.052547,0
28,40.192547,0
29,40.33255,2
30,40.47255,0
31,40.61255,2
32,40.75255,1
33,40.892548,4
34,41.032547,1
35,41.17255,0
36,41.31255,2
37,41.45255,2
38,41.59255,3
39,41.732548,1
40,41.872547,2
41,42.01255,2
42,42.15255,2
43,42.29255,4
44,42.43255,2
45,42.572548,1
46,42.712547,4
47,42.85255,4
48,42.99255,4
49,43.13255,4
50,43.27255,4
51,43.412548,2
52,43.552547,8
53,43.692547,4
54,43.83255,5
55,43.97255,9
56,44.11255,6
57,44.25255,7
58,44.392548,10
59,44.532547,12
60,44.67255,17
61,44.81255,18
62,44.95255,12
63,45.09255,14
64,45.232548,23
65,45.372547,32
66,45.51255,26
67,45.65255,35
68,45.79255,49
69,45.93255,52
70,46.072548,66
71,46.212547,71
72,46.35255,76
73,46.49255,105
74,46.63255,135
75,46.77255,137
76,46.912548,152
77,47.052547,189
78,47.192547,213
79,47.33255,284
80,47.47255,261
81,47.61255,337
82,47.75255,363
83,47.892548,446
84,48.032547,500
85,48.17255,584
86,48.31255,584
87,48.45255,723
88,48.59255,773
89,48.732548,808
90,48.872547,937
91,49.01255,967
92,49.15255,982
93,49.29255,1126
94,49.43255,1194
95,49.572548,1281
96,49.712547,1217
97,49.85255,1296
98,49.99255,1347
99,50.13255,1343
100,50.27255,1441
101,50.412548,1428
102,50.552547,1443
103,50.692547,1413
104,50.83255,1391
105,50.97255,1431
106,51.11255,1372
107,51.25255,1245
108,51.392548,1252
109,51.532547,1233
110,51.67255,1154
111,51.81255,1057
112,51.95255,947
113,52.09255,896
114,52.232548,877
115,52.372547,821
116,52.51255,743
117,52.65255,633
118,52.79255,601
119,52.93255,531
120,53.072548,427
121,53.212547,398
122,53.35255,327
123,53.49255,310
124,53.63255,258
125,53.77255,239
126,53.912548,196
127,54.052547,168
128,54.192547,122
129,54.33255,106
130,54.47255,106
131,54.61255,99
132,54.75255,64
133,54.892548,62
134,55.032547,47
135,55.17255,43
136,55.31255,29
137,55.45255,27
138,55.59255,17
139,55.732548,12
140,55.872547,12
141,56.01255,10
142,56.15255,7
143,56.29255,6
144,56.43255,3
145,56.572548,4
146,56.712547,2
147,56.85255,3
148,56.99255,3
149,57.13255,1
150,57.27255,2
151,57.412548,1
152,57.552547,1
153,57.692547,1
154,57.83255,0
155,57.97255,1
156,58.11255,0
157,58.25255,0
158,58.392548,0
159,58.532547,0
160,58.67255,0
161,58.81255,0
162,58.95255,0
163,59.09255,0
164,59.232548,0
165,59.372547,1
166,59.51255,0
167,59.65255,0
168,59.79255,0
169,59.93255,0
170,60.072548,0
171,60.212547,0
172,60.35255,0
173,60.49255,0
174,60.63255,0
175,60.77255,0
176,60.912548,0
177,61.052547,0
178,61.192547,0
179,61.33255,0
180,61.47255,0
181,61.61255,0
182,61.75255,0
183,61.892548,0
184,62.032547,0
185,62.17255,0
186,62.31255,0
187,62.45255,0
188,62.59255,0
189,62.732548,0
190,62.872547,0
191,63.01255,0
192,63.15255,0
193,63.29255,0
194,63.43255,0
195,63.572548,0
196,63.712547,0
197,63.85255,0
198,63.99255,0
199,64.132545,0
